#Position (bp)	insert size
9.303592925E8	290.76873760170196
9.380801165E8	289.6563000348068
9.458009405E8	289.3538624498752
9.535217645E8	289.0982308954952
9.612425885E8	289.83282745322094
9.689634125E8	291.81794948180436
9.766842365E8	290.80733592025155
9.844050605E8	291.0268210859927
9.921258845E8	289.3763550467528
9.998467085E8	290.3815973119669
1.0075675325E9	290.60386728271544
1.0152883565E9	288.5924530946166
1.0230091805E9	288.7055746280857
1.0307300045E9	285.5270767909993
1.0384508285E9	287.4091987479814
1.0461716525E9	289.8625913297613
1.0538924765E9	285.14309588974737
1.0594756065E9	287.11255153231014
1.0633360185E9	290.44226706106065
1.0693341245E9	288.3090777850342
1.0770549485E9	289.08033530004315
1.0847757725E9	289.7610179172679
1.0924965965E9	288.3609959040676
1.1002174205E9	287.1183227802086
1.1079382445E9	289.3806577625236
1.1156590685E9	290.20298169940116
1.1233798925E9	291.00201856417215
1.1311007165E9	290.211485001105
1.1388215405E9	289.6898538523264
1.1465423645E9	289.59369749019817
1.1542631885E9	290.97568566426764
1.1619840125E9	290.94526625582245
1.1697048365E9	289.15855785052923
1.1774256605E9	289.8587150609792
1.1851464845E9	290.7298551444604
1.1928673085E9	290.37633029318084
1.2005881325E9	289.8368664040028
1.2083089565E9	289.1165665967954
1.2160297805E9	288.8652686145146
1.2237506045E9	289.8497071204258
1.22980766E9	290.0305387809876
1.233668072E9	287.7076509586096
1.2391922525E9	287.8219767843194
1.2469130765E9	291.338404095311
1.2546339005E9	290.2458870678497
1.2623547245E9	289.3006653609079
1.2700755485E9	288.48197552640283
1.2777963725E9	289.8313235484288
1.2855171965E9	289.3622134520111
1.2932380205E9	290.62008218688584
1.3009588445E9	284.69463273978147
1.3086796685E9	287.6045526939362
1.3164004925E9	290.9705054077954
1.3241213165E9	290.88392089423905
1.3318421405E9	287.7772445586457
1.3395629645E9	289.68007033997657
1.3472837885E9	291.28089286230943
1.3550046125E9	290.6733830029833
1.3627254365E9	289.13270004436083
1.3704462605E9	288.0043077033993
1.3781670845E9	290.0923498933252
1.3858879085E9	288.54987111448065
1.3905492985E9	288.70717504332754
1.3944097105E9	290.5288475168927
1.4013295565E9	288.67225168218886
1.4090503805E9	289.07718411071926
1.4167712045E9	287.4279036391594
1.4244920285E9	289.2871334760542
1.4322128525E9	288.1250583975707
1.4399336765E9	289.58061325420374
1.4476545005E9	289.835486252076
1.4553753245E9	289.4795759166017
1.4630961485E9	290.2070054849684
1.4708169725E9	290.38195102151263
1.4785377965E9	289.7133514701266
1.4862586205E9	288.9521678473719
1.4939794445E9	288.2413683283688
1.5017002685E9	290.60338780949706
1.5094210925E9	288.7379514844057
1.5171419165E9	286.1727310562145
1.5248627405E9	285.63440300664934
1.5325835645E9	287.98199775533107
1.5364664445E9	0.0
1.5403268565E9	288.53935500035794
1.5480252125E9	290.94044615917295
1.5557460365E9	290.4214730412311
1.5634668605E9	290.12698933268894
1.5711876845E9	288.5958226948993
