#Position (bp)	insert size
1.1774256605E9	311.11530975620303
1.1851464845E9	311.72169771676704
1.1928673085E9	311.056429219843
1.2005881325E9	310.6948500820876
1.2083089565E9	309.9438931625154
1.2160297805E9	309.8836130346793
1.2237506045E9	310.46980346570786
1.22980766E9	310.52253931031595
1.233668072E9	307.93985368692324
1.2391922525E9	309.13274614658695
1.2469130765E9	312.90939789271675
1.2546339005E9	310.8056192298795
1.2623547245E9	309.7519841647475
1.2700755485E9	309.6435814042472
1.2777963725E9	310.2292830740136
1.2855171965E9	309.80434678653404
1.2932380205E9	310.59341224909934
1.3009588445E9	306.1586508817363
1.3086796685E9	307.8576233455126
1.3164004925E9	312.3424690579132
1.3241213165E9	311.451941103364
1.3318421405E9	307.6347335366131
1.3395629645E9	309.982415402304
1.3472837885E9	311.62923042441776
1.3550046125E9	311.77398101619207
1.3627254365E9	309.6857251690315
1.3704462605E9	308.3051205892836
1.3781670845E9	309.55770863400966
1.3858879085E9	308.81776944130763
1.3905492985E9	310.53149042762567
1.3944097105E9	311.2135155130889
1.4013295565E9	308.60269407415706
1.4090503805E9	309.32338193319447
1.4167712045E9	308.17990949428463
1.4244920285E9	309.8712687186639
1.4322128525E9	308.0651403487576
1.4399336765E9	310.32357565667775
1.4476545005E9	309.9895133036644
1.4553753245E9	309.6657962270947
1.4630961485E9	311.03754166291327
1.4708169725E9	310.88529438121697
1.4785377965E9	310.09667748070257
1.4862586205E9	309.84751412307094
1.4939794445E9	309.62910301346915
1.5017002685E9	310.92993659523216
1.5094210925E9	309.7517285190876
1.5171419165E9	306.1241722151433
1.5248627405E9	306.0226251095816
1.5325835645E9	309.08141374196737
1.5364664445E9	0.0
1.5403268565E9	309.6177505738332
1.5480252125E9	311.7975598131732
1.5557460365E9	310.86203681180575
1.5634668605E9	311.0690475661011
1.5711876845E9	308.1737685732796
1.5789085085E9	310.0247316325108
1.5866293325E9	0.0
1.5943501565E9	309.59671641791044
1.6020709805E9	310.6251347229283
1.6097918045E9	310.3035138867577
1.6175126285E9	310.44599936581756
1.6252334525E9	309.87910499287966
1.6329542765E9	308.42576333377013
1.6406751005E9	308.51508293750464
1.6483959245E9	306.946312670492
1.6561167485E9	305.90066156440525
1.6638375725E9	306.89384310439954
1.671290807E9	309.26009438064716
1.675151219E9	311.34697244679097
1.6792792205E9	309.35740319728626
1.6870000445E9	309.0405568497572
1.6947208685E9	308.8290772435027
1.7024416925E9	307.91907468437057
1.7101625165E9	309.95069197373164
1.7178833405E9	317.2459333737829
1.7256041645E9	310.4423881688539
1.7333249885E9	311.05507077758386
1.7410458125E9	308.8907121594917
1.7487666365E9	308.63669876773326
1.7564874605E9	308.3587397110387
1.7642082845E9	308.65438358158264
1.7719291085E9	306.6323833709556
1.7796499325E9	308.30300759493673
1.7873707565E9	309.24711306889526
1.7950915805E9	308.87904229469984
1.8028124045E9	311.0836416885796
1.807676934E9	309.9962962962963
1.811537346E9	309.74803796313194
1.8182540525E9	308.4617792068596
1.8259748765E9	308.50305137830185
1.8336957005E9	310.3982271496449
1.8414165245E9	309.308713711281
1.8491373485E9	309.39435897435897
1.8568581725E9	307.93498160412065
1.8645789965E9	308.834021748293
1.8722998205E9	307.0296038748317
1.8800206445E9	306.90949217223385
1.8877414685E9	305.60321081537813
1.8954622925E9	308.9956633995939
1.9031831165E9	309.8288260008693
1.9109039405E9	310.72916232186304
1.9186247645E9	309.2335377548363
1.9263455885E9	309.10082792397094
1.9340664125E9	309.3415939570205
1.940847249E9	309.18108606761746
1.944707661E9	307.7282555012896
1.9495080605E9	308.7284209951986
1.9572288845E9	309.6794109277177
1.9649497085E9	311.160469667319
1.9726705325E9	309.56844202532375
1.9803913565E9	310.2093351716717
1.9881121805E9	310.55578403149053
1.9958330045E9	309.06026438569205
2.0035538285E9	309.3738360892599
2.0112746525E9	309.74469810872836
2.0189954765E9	311.1535132073945
2.0267163005E9	311.17317426645104
2.0344371245E9	309.3435251798561
2.0421579485E9	305.8457477874118
2.0498787725E9	306.68901531518554
2.0575995965E9	305.92241828605466
2.0653204205E9	304.53468070737136
2.0730412445E9	307.05921010382104
2.0769723195E9	308.38872403560833
2.0808327315E9	0.0
2.0884828925E9	0.0
2.0962037165E9	310.1112061028541
2.1039245405E9	309.8167023814337
2.1116453645E9	311.0594530321046
2.1193661885E9	309.3000573958675
2.1270870125E9	310.0662282449847
2.1348078365E9	311.15280202113
2.1425286605E9	312.79872825223
2.1502494845E9	311.9075239838298
2.1579703085E9	312.0741774675972
2.1656911325E9	311.99958663301715
2.1734119565E9	310.43977719659006
2.1811327805E9	311.79002947398874
2.1882002515E9	309.957638760739
2.1920606635E9	0.0
2.1965744285E9	0.0
2.2042952525E9	310.0921228304406
2.2120160765E9	310.2368075812999
2.2197369005E9	311.79273608777936
2.2274577245E9	309.76471811076004
2.2351785485E9	311.48370528262154
2.2428993725E9	310.2905411274212
2.2506201965E9	310.817263136296
2.2583410205E9	308.60630382629654
2.2660618445E9	307.12459189976175
2.2737826685E9	310.40140482573725
2.2815034925E9	307.6422771925672
2.2892243165E9	308.33380636536583
2.2957678785E9	309.0934303462403
2.2996282905E9	0.0
2.3046659645E9	0.0
2.3123867885E9	0.0
2.3201076125E9	292.79958981333215
2.3278284365E9	309.51383451662133
2.3355492605E9	310.69588262087814
2.3432700845E9	308.6569717998435
2.3509909085E9	308.97860860612764
2.3587117325E9	309.33008354338074
2.3664325565E9	307.16193851268656
2.3741533805E9	307.3076603798645
2.3818742045E9	308.00693065796935
2.3895950285E9	308.00536202808684
2.396948829E9	310.75245394203233
2.400809241E9	308.8219707424786
2.4050366765E9	307.8220421045081
2.4127575005E9	303.869099274877
2.4204783245E9	304.48316405226853
2.4281991485E9	304.8299499601956
2.4359199725E9	318.8708180130329
2.4436407965E9	313.8230179028133
2.4513616205E9	309.11242794459264
2.4590824445E9	308.1162663506677
2.4668032685E9	308.20712590045844
2.4745240925E9	308.569010831475
2.4822449165E9	307.29813572904806
2.4884429455E9	306.999469969593
2.4923033575E9	305.16202041392665
2.4976865645E9	306.29212376106585
2.5054073885E9	307.2765916003656
2.5131282125E9	308.16182801343973
2.5208490365E9	307.6788451509932
2.5285698605E9	307.779997357643
2.5362906845E9	307.34420289855075
2.5440115085E9	308.30267181071605
2.5517323325E9	308.35373929215507
2.5594531565E9	308.7378150553319
2.5671739805E9	307.0419108528074
2.572536198E9	308.6308448946634
2.57639661E9	309.1806551800636
2.5826156285E9	309.7518317085685
2.5903364525E9	310.4715063520871
2.5980572765E9	309.03368642045996
2.6057781005E9	310.3260791769179
2.6134989245E9	311.37182968397946
2.6212197485E9	308.07012694512696
2.6289405725E9	310.1110449023528
2.6366613965E9	310.48698325343423
2.6443822205E9	310.9504026115343
2.6513269605E9	310.982244188175
2.6551873725E9	306.7002463728442
2.6598238685E9	304.21776116834263
2.6675446925E9	304.1273087818697
2.6752655165E9	305.7198810279718
2.6829863405E9	308.1227508178844
2.6907071645E9	305.233365135614
2.6984279885E9	305.14508079527366
2.7061488125E9	303.5160017657121
2.7115190645E9	305.73516013252345
2.7153794765E9	305.443327602169
2.7215904605E9	309.02042942848124
2.7293112845E9	309.5360195946595
2.7370321085E9	309.14538434538434
2.7447529325E9	306.9233067337553
2.7524737565E9	307.0995792775523
2.7601945805E9	303.93472147430145
2.7679154045E9	306.29627721241786
2.774624444E9	309.975795864785
2.778484856E9	0.0
2.7833570525E9	309.5151340181122
2.7910778765E9	311.1446835395994
2.7987987005E9	311.92786224275517
2.8065195245E9	309.50670864253055
2.8142403485E9	308.8456177159527
2.8211419075E9	308.53003108737096
2.8250023195E9	0.0
2.8296819965E9	0.0
2.8374028205E9	309.34227546871165
2.8451236445E9	309.30812675437113
2.8528444685E9	306.14323751178136
2.8605652925E9	304.67186967129254
2.8682861165E9	307.08748164539946
2.8735740255E9	308.5147460281942
2.8774344375E9	303.1209938782859
2.8837277645E9	310.0906643439702
2.8914485885E9	308.6521459424685
2.8991694125E9	310.042780472701
2.9068902365E9	310.92714727575543
2.9146110605E9	307.6934963491255
2.9223318845E9	307.31589867727155
2.9300527085E9	306.97552109694936
2.9377735325E9	307.79350048423544
2.9454943565E9	307.74835855967933
2.9532151805E9	310.2657884349714
2.9609360045E9	310.58218158622157
2.9686568285E9	310.9419590212264
2.9763776525E9	310.20977641994165
2.9840984765E9	309.9181071202836
2.9918193005E9	310.1387378581465
2.9995401245E9	309.8520879272326
3.0072609485E9	310.21352244956637
3.0149817725E9	310.35784403951163
3.0227025965E9	309.07267252351534
3.028802713E9	309.34089522647554
3.032663125E9	307.64044943820227
3.0381442445E9	307.69348054679284
3.0458650685E9	307.5899757120777
3.0535858925E9	312.36628849270664
3.0613067165E9	310.00961538461536
3.0690275405E9	0.0
3.0767483645E9	0.0
3.0844393045E9	310.07553956834533
3.088278117E9	314.41666892019794
3.088307901E9	300.2051948748191
